rok,částka
2023,17 300
2022,16 200
2021,15 200
2020,14 600
2019,13 350
2018,12 200
2017,11 000
2016,9 900	
2015,9 200
2014,8 500
2013,8 500
2012,8 000
2011,8 000
2010,8 000
2009,8 000
2008,8 000
2007,8 000
2006,7 570	
2005,7 185
2004,6 700	
2003,6 200	
2002,5 700
2001,5 000
2000,4 000
